time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
2018-09-07T01:07:15.599Z,91.74,26.67,0.0,0.0,0.01,277.41,235.01,ball_snap,310.0,Matt Ryan,2.0,QB,11,away,2018090600,75,left,
2018-09-07T01:07:15.599Z,88.89,36.5,0.01,0.01,0.0,104.49,36.45,ball_snap,79848.0,Malcolm Jenkins,27.0,SS,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,91.36,44.14,0.0,0.01,0.02,289.53,49.86,ball_snap,2495454.0,Julio Jones,11.0,WR,11,away,2018090600,75,left,HITCH
2018-09-07T01:07:15.599Z,86.47,22.03,0.18,0.07,0.01,71.89,82.3,ball_snap,2495613.0,Corey Graham,24.0,FS,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,90.78,36.16,0.0,0.0,0.0,259.19,294.93,ball_snap,2533040.0,Mohamed Sanu,12.0,WR,11,away,2018090600,75,left,HITCH
2018-09-07T01:07:15.599Z,73.61,28.7,0.02,0.02,0.0,110.09,258.4,ball_snap,2534832.0,Rodney McLeod,23.0,FS,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,98.25,26.62,0.0,0.0,0.0,259.95,193.19,ball_snap,2543583.0,Devonta Freeman,24.0,RB,11,away,2018090600,75,left,
2018-09-07T01:07:15.599Z,86.63,31.12,0.07,0.07,0.03,120.41,67.74,ball_snap,2552315.0,Jordan Hicks,58.0,MLB,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,82.63,20.5,0.03,0.03,0.01,84.07,211.08,ball_snap,2552689.0,Ronald Darby,21.0,CB,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,83.92,43.44,0.06,0.05,0.02,99.77,228.9,ball_snap,2555383.0,Jalen Mills,31.0,CB,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,91.3,21.85,0.0,0.01,0.0,250.85,144.91,ball_snap,2555415.0,Austin Hooper,81.0,TE,11,away,2018090600,75,left,OUT
2018-09-07T01:07:15.599Z,85.7,26.75,0.01,0.02,0.01,90.85,32.74,ball_snap,2558175.0,Nate Gerry,47.0,LB,11,home,2018090600,75,left,
2018-09-07T01:07:15.599Z,95.12,26.7,0.0,0.0,0.01,247.1,235.2,ball_snap,2559033.0,Ricky Ortiz,30.0,FB,11,away,2018090600,75,left,FLAT
2018-09-07T01:07:15.599Z,90.11,26.85,0.0,0.0,0.0,,,ball_snap,,Football,,,11,football,2018090600,75,left,
